trade_id,desk,sub_portfolio,instrument_type,product_form,currency,quantity,notional,long_short,underlying,issuer,rating,sector,economy,market_cap,maturity_years,option_expiry_years,strike,option_type,coupon,fixed_rate,seniority,csr_class,csr_bucket,equity_bucket,commodity_bucket,drc_class,drc_bucket,attachment,detachment,rrao_type,rrao_reason,is_synthetic
R11,Rates,Inflation,INFLATION_BOND,cash,INR,1,80000000,long,INR_INFLATION,INDIA,BBB,SOVEREIGN,EMERGING,LARGE,10,0,0,NONE,0.035,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
R12,Rates,Cross Currency,XCCY_BASIS_SWAP,derivative,USD,1,2000000,long,USDINR_BASIS,NONE,UNRATED,FINANCIALS,ADVANCED,LARGE,5,0,0,NONE,0,0.0015,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
C01,Credit,Financial Bonds,CORPORATE_BOND,cash,INR,1,100000000,long,AXIS_BANK,AXIS_BANK,AA,FINANCIALS,EMERGING,LARGE,5,0,0,NONE,0.075,0,SENIOR,CSR_NON_SECURITISATION,3,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C02,Credit,Corporate Bonds,CORPORATE_BOND,cash,USD,1,1500000,long,US_INDUSTRIAL,US_INDUSTRIAL,BBB,INDUSTRIALS,ADVANCED,LARGE,7,0,0,NONE,0.055,0,SENIOR,CSR_NON_SECURITISATION,4,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C03,Credit,Corporate Bonds,CORPORATE_BOND,cash,EUR,1,1200000,long,EU_TECH,EU_TECH,A,TECHNOLOGY,ADVANCED,LARGE,3,0,0,NONE,0.043,0,SENIOR,CSR_NON_SECURITISATION,6,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C04,Credit,High Yield,CORPORATE_BOND,cash,INR,1,70000000,long,INDIA_METALS,INDIA_METALS,BB,BASIC_MATERIALS,EMERGING,LARGE,4,0,0,NONE,0.095,0,SUBORDINATED,CSR_NON_SECURITISATION,12,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C05,Credit,Default Hedges,CDS,derivative,INR,1,60000000,short,AXIS_BANK,AXIS_BANK,AA,FINANCIALS,EMERGING,LARGE,5,0,0,NONE,0,0.012,SENIOR,CSR_NON_SECURITISATION,3,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C06,Credit,Default Hedges,CDS,derivative,USD,1,900000,long,US_RETAIL,US_RETAIL,BBB,CONSUMER,ADVANCED,LARGE,5,0,0,NONE,0,0.02,SENIOR,CSR_NON_SECURITISATION,5,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C07,Credit,Options,CREDIT_OPTION,derivative,USD,1,1000000,long,US_INDUSTRIAL,US_INDUSTRIAL,BBB,INDUSTRIALS,ADVANCED,LARGE,5,1,0.018,CALL,0,0,SENIOR,CSR_NON_SECURITISATION,4,0,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
C08,Credit,Callable,CALLABLE_BOND,derivative,EUR,1,1000000,long,EU_UTILITY,EU_UTILITY,A,UTILITIES,ADVANCED,LARGE,7,2,1.02,CALL,0.05,0,SENIOR,CSR_NON_SECURITISATION,7,0,0,NON_SECURITISATION,CORPORATE,0,0,OTHER_RESIDUAL_RISK,embedded_callability,1
S01,Credit,Securitisation Non CTP,SECURITISATION_TRANCHE,cash,USD,1,1200000,long,RMBS_PRIME_2026,RMBS_SPV,AA,RMBS_PRIME,ADVANCED,LARGE,5,0,0,NONE,0,0,SENIOR,CSR_SECURITISATION_NON_CTP,1,0,0,SECURITISATION_NON_CTP,RMBS_PRIME,0.10,0.30,NONE,,1
S02,Credit,Securitisation Non CTP,SECURITISATION_TRANCHE,cash,USD,1,700000,short,RMBS_PRIME_2026,RMBS_SPV,AA,RMBS_PRIME,ADVANCED,LARGE,3,0,0,NONE,0,0,SENIOR,CSR_SECURITISATION_NON_CTP,1,0,0,SECURITISATION_NON_CTP,RMBS_PRIME,0.10,0.30,NONE,,1
T01,Credit,Correlation Trading Portfolio,CTP_TRANCHE,derivative,USD,1,1500000,long,CDX_IG_S42_3_7,CDX_IG,BBB,FINANCIALS,ADVANCED,LARGE,5,0,0,NONE,0,0,SENIOR,CSR_SECURITISATION_CTP,3,0,0,SECURITISATION_CTP,CDX_IG,0.03,0.07,NONE,,1
T02,Credit,Correlation Trading Portfolio,CTP_INDEX_HEDGE,derivative,USD,1,1000000,short,CDX_IG_S42,CDX_IG,BBB,FINANCIALS,ADVANCED,LARGE,5,0,0,NONE,0,0,SENIOR,CSR_SECURITISATION_CTP,3,0,0,SECURITISATION_CTP,CDX_IG,0,1,NONE,,1
E01,Equity,Indian Single Names,EQUITY_CASH,cash,INR,100000,0,long,RELIANCE,RELIANCE,BBB,ENERGY,EMERGING,LARGE,0,0,0,NONE,0,0,EQUITY,NONE,0,3,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
E02,Equity,Indian Single Names,EQUITY_FUTURE,derivative,INR,70000,0,short,RELIANCE,RELIANCE,BBB,ENERGY,EMERGING,LARGE,0.25,0,0,NONE,0,0,EQUITY,NONE,0,3,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
E03,Equity,Indian Options,EQUITY_OPTION,derivative,INR,50000,0,long,RELIANCE,RELIANCE,BBB,ENERGY,EMERGING,LARGE,0,0.5,3000,CALL,0,0,EQUITY,NONE,0,3,0,NONE,NONE,0,0,NONE,,1
E04,Equity,Indian Single Names,EQUITY_CASH,cash,INR,80000,0,long,HDFC_BANK,HDFC_BANK,AA,FINANCIALS,EMERGING,LARGE,0,0,0,NONE,0,0,EQUITY,NONE,0,4,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
E05,Equity,Indian Single Names,EQUITY_CASH,cash,INR,60000,0,long,INFOSYS,INFOSYS,A,TECHNOLOGY,EMERGING,LARGE,0,0,0,NONE,0,0,EQUITY,NONE,0,4,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
E06,Equity,Indian Small Cap,EQUITY_CASH,cash,INR,150000,0,long,INDIA_SMALLCAP,INDIA_SMALLCAP,BB,INDUSTRIALS,EMERGING,SMALL,0,0,0,NONE,0,0,EQUITY,NONE,0,9,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
E07,Equity,Foreign Equity,EQUITY_CASH,cash,USD,5000,0,long,APPLE,APPLE,AA,TECHNOLOGY,ADVANCED,LARGE,0,0,0,NONE,0,0,EQUITY,NONE,0,8,0,NON_SECURITISATION,CORPORATE,0,0,NONE,,1
E08,Equity,Indices,EQUITY_FUTURE,derivative,INR,20000,0,long,NIFTY50,NIFTY50,UNRATED,INDEX,EMERGING,LARGE,0.25,0,0,NONE,0,0,EQUITY,NONE,0,13,0,NONE,NONE,0,0,NONE,,1
E09,Equity,Indices,EQUITY_OPTION,derivative,INR,10000,0,short,NIFTY50,NIFTY50,UNRATED,INDEX,EMERGING,LARGE,0,0.5,24500,CALL,0,0,EQUITY,NONE,0,13,0,NONE,NONE,0,0,NONE,,1
E10,Equity,Exotic Options,BARRIER_OPTION,derivative,INR,15000,0,long,NIFTY50,NIFTY50,UNRATED,INDEX,EMERGING,LARGE,0,1,25000,CALL,0,0,EQUITY,NONE,0,13,0,NONE,NONE,0,0,OTHER_RESIDUAL_RISK,path_dependent_barrier,1
F01,FX,Forwards,FX_FORWARD,derivative,INR,1,3000000,long,USDINR,NONE,UNRATED,FX,GLOBAL,LARGE,0.5,0,86.5,NONE,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
F02,FX,Forwards,FX_FORWARD,derivative,INR,1,2000000,short,EURINR,NONE,UNRATED,FX,GLOBAL,LARGE,1,0,94,NONE,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
F03,FX,Options,FX_OPTION,derivative,INR,1,1500000,long,USDINR,NONE,UNRATED,FX,GLOBAL,LARGE,0,0.5,87,CALL,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
F04,FX,Options,FX_OPTION,derivative,INR,1,1200000,long,EURINR,NONE,UNRATED,FX,GLOBAL,LARGE,0,1,93,PUT,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,NONE,,1
F05,FX,Exotic Options,DIGITAL_OPTION,derivative,INR,1,1000000,long,USDINR,NONE,UNRATED,FX,GLOBAL,LARGE,0,0.5,88,CALL,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,OTHER_RESIDUAL_RISK,discontinuous_digital_payoff,1
M01,Commodity,Energy,COMMODITY_FUTURE,derivative,USD,100000,0,long,BRENT,NONE,UNRATED,ENERGY,GLOBAL,LARGE,0.25,0,0,NONE,0,0,SENIOR,NONE,0,0,2,NONE,NONE,0,0,NONE,,1
M02,Commodity,Energy,COMMODITY_FUTURE,derivative,USD,80000,0,short,BRENT,NONE,UNRATED,ENERGY,GLOBAL,LARGE,1,0,0,NONE,0,0,SENIOR,NONE,0,0,2,NONE,NONE,0,0,NONE,,1
M03,Commodity,Energy,COMMODITY_FUTURE,derivative,USD,70000,0,long,WTI,NONE,UNRATED,ENERGY,GLOBAL,LARGE,0.5,0,0,NONE,0,0,SENIOR,NONE,0,0,2,NONE,NONE,0,0,NONE,,1
M04,Commodity,Precious Metals,COMMODITY_FUTURE,derivative,USD,2000,0,long,GOLD,NONE,UNRATED,METALS,GLOBAL,LARGE,0.25,0,0,NONE,0,0,SENIOR,NONE,0,0,7,NONE,NONE,0,0,NONE,,1
M05,Commodity,Precious Metals,COMMODITY_FUTURE,derivative,USD,1500,0,short,GOLD,NONE,UNRATED,METALS,GLOBAL,LARGE,1,0,0,NONE,0,0,SENIOR,NONE,0,0,7,NONE,NONE,0,0,NONE,,1
M06,Commodity,Options,COMMODITY_OPTION,derivative,USD,50000,0,long,BRENT,NONE,UNRATED,ENERGY,GLOBAL,LARGE,0,0.5,82,CALL,0,0,SENIOR,NONE,0,0,2,NONE,NONE,0,0,NONE,,1
M07,Commodity,Options,COMMODITY_OPTION,derivative,USD,800,0,short,GOLD,NONE,UNRATED,METALS,GLOBAL,LARGE,0,1,2350,PUT,0,0,SENIOR,NONE,0,0,7,NONE,NONE,0,0,NONE,,1
X01,Residual Risk,Exotic Underlyings,WEATHER_DERIVATIVE,derivative,INR,1,50000000,long,INDIA_MONSOON_INDEX,NONE,UNRATED,WEATHER,INDIA,LARGE,1,0,0,NONE,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,EXOTIC_UNDERLYING,weather_underlying_outside_sbm_drc,1
X02,Residual Risk,Exotic Underlyings,REALIZED_VOL_SWAP,derivative,INR,1,30000000,long,NIFTY_REALIZED_VOL,NONE,UNRATED,VOLATILITY,INDIA,LARGE,1,0,0.20,NONE,0,0,SENIOR,NONE,0,0,0,NONE,NONE,0,0,EXOTIC_UNDERLYING,future_realized_volatility_underlying,1
