risk_factor_id,broad_risk_class,source_risk_class,market_group,market_key,tenor_years,factor_type,desks,trade_count,signed_sensitivity_inr,absolute_sensitivity_inr,liquidity_category,liquidity_horizon_days,rfet_observation_profile,valuation_anchor_value,input_data_status,input_explanation
EUR_OIS_1.0Y,INTEREST_RATE,GIRR,rates,EUR,1.0,standard,FX,2,217104232.60069454,217104232.60069454,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.028,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EUR_OIS_10.0Y,INTEREST_RATE,GIRR,rates,EUR,10.0,standard,"Credit, Rates",2,-1575583206.8769634,1575583206.8769634,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.03,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EUR_OIS_3.0Y,INTEREST_RATE,GIRR,rates,EUR,3.0,standard,Credit,1,-322616858.8629365,322616858.8629365,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.029,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EUR_OIS_5.0Y,INTEREST_RATE,GIRR,rates,EUR,5.0,standard,Credit,1,-180563975.54144263,180563975.54144263,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.0295,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EU_TECH_3.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,EU_TECH,3.0,standard,Credit,1,-322616858.8629365,322616858.8629365,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.013,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EU_UTILITY_10.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,EU_UTILITY,10.0,standard,Credit,1,-82445690.29897451,82445690.29897451,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.014,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EU_UTILITY_5.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,EU_UTILITY,5.0,standard,Credit,1,-123685919.86209154,123685919.86209154,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.014,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EU_UTILITY_VOL_1.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,volatility,EU_UTILITY,1.0,standard,Credit,1,-5560435.0784440935,5560435.0784440935,CREDIT_SPREAD_VOLATILITY,120,SPARSE_FAIL,0.22,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
EU_UTILITY_VOL_3.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,volatility,EU_UTILITY,3.0,standard,Credit,1,-5560435.0784440935,5560435.0784440935,CREDIT_SPREAD_VOLATILITY,120,SPARSE_FAIL,0.22,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
GOLD_0.25Y_GLOBAL,COMMODITY,COMMODITY,commodity_spot,GOLD,0.25,standard,Commodity,1,410312000.00000316,410312000.00000316,COMMODITY_METAL_PRICE,20,FREQUENT_100_ROUTE,2380.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
GOLD_1.0Y_GLOBAL,COMMODITY,COMMODITY,commodity_spot,GOLD,1.0,standard,Commodity,2,-252470310.7079586,362997689.29204607,COMMODITY_METAL_PRICE,20,FREQUENT_100_ROUTE,2380.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
GOLD_VOL_1.0Y,COMMODITY,COMMODITY,volatility,GOLD,1.0,standard,Commodity,1,-10930410.859540112,10930410.859540112,COMMODITY_METAL_VOLATILITY,60,REGULAR_24_ROUTE,0.18,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
HDFC_BANK,EQUITY,EQUITY,equity_spot,HDFC_BANK,,standard,Equity,1,139200000.0,139200000.0,EQUITY_LARGE_CAP_PRICE,10,FREQUENT_100_ROUTE,1740.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INDIA_METALS_3.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,INDIA_METALS,3.0,standard,Credit,1,-117923044.80820894,117923044.80820894,CREDIT_SPREAD_CORPORATE_HY,60,SPARSE_FAIL,0.035,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INDIA_METALS_5.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,INDIA_METALS,5.0,standard,Credit,1,-117923044.80820894,117923044.80820894,CREDIT_SPREAD_CORPORATE_HY,60,SPARSE_FAIL,0.035,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INDIA_SMALLCAP,EQUITY,EQUITY,equity_spot,INDIA_SMALLCAP,,standard,Equity,1,63000000.0,63000000.0,EQUITY_SMALL_CAP_PRICE,20,SPARSE_FAIL,420.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INFOSYS,EQUITY,EQUITY,equity_spot,INFOSYS,,standard,Equity,1,112800000.0,112800000.0,EQUITY_LARGE_CAP_PRICE,10,FREQUENT_100_ROUTE,1880.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_INFLATION,INTEREST_RATE,GIRR,inflation,INR,,inflation,Rates,1,936157783.4807336,936157783.4807336,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.045,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_0.25Y,INTEREST_RATE,GIRR,rates,INR,0.25,standard,Equity,2,70485567.86694098,173697017.51367655,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.062,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_0.5Y,INTEREST_RATE,GIRR,rates,INR,0.5,standard,"Equity, FX, Rates",6,175448543.08303246,315184735.26391935,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.063,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_1.0Y,INTEREST_RATE,GIRR,rates,INR,1.0,standard,"Equity, FX",3,-211680370.5910826,216753807.73025098,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.064,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_10.0Y,INTEREST_RATE,GIRR,rates,INR,10.0,standard,Rates,2,118856350.59252381,1679153007.2380602,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.069,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_2.0Y,INTEREST_RATE,GIRR,rates,INR,2.0,standard,Rates,1,-193106258.57532024,193106258.57532024,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.065,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_3.0Y,INTEREST_RATE,GIRR,rates,INR,3.0,standard,Credit,1,-117923044.80820894,117923044.80820894,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.066,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_5.0Y,INTEREST_RATE,GIRR,rates,INR,5.0,standard,"Credit, Rates",7,-1584482089.5911417,2242380865.3738894,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.067,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_VOL_1.0Y_UNDERLYING_5.0Y,INTEREST_RATE,GIRR,volatility,INR_OIS,1.0,standard,Rates,1,2078458.1387421917,2078458.1387421917,INTEREST_RATE_VOLATILITY,60,REGULAR_24_ROUTE,0.18,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OIS_VOL_3.0Y_UNDERLYING_5.0Y,INTEREST_RATE,GIRR,volatility,INR_OIS,3.0,standard,Rates,1,2078458.1387421917,2078458.1387421917,INTEREST_RATE_VOLATILITY,60,REGULAR_24_ROUTE,0.18,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
INR_OVER_USD_BASIS,INTEREST_RATE,GIRR,cross_currency_basis,USDINR_BASIS,,cross_currency_basis,Rates,1,660302589.2177386,660302589.2177386,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.002,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
NIFTY50,EQUITY,EQUITY,equity_spot,NIFTY50,,standard,Equity,3,323385220.82196575,666614779.1780341,EQUITY_LARGE_CAP_PRICE,10,FREQUENT_100_ROUTE,24750.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
NIFTY50_VOL_0.5Y,EQUITY,EQUITY,volatility,NIFTY50,0.5,standard,Equity,1,-13088058.513143584,13088058.513143584,EQUITY_LARGE_CAP_VOLATILITY,20,REGULAR_24_ROUTE,0.2,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
NIFTY50_VOL_1.0Y,EQUITY,EQUITY,volatility,NIFTY50,1.0,standard,Equity,1,-9484725.209014313,9484725.209014313,EQUITY_LARGE_CAP_VOLATILITY,20,REGULAR_24_ROUTE,0.2,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
RELIANCE,EQUITY,EQUITY,equity_spot,RELIANCE,,standard,Equity,3,178575742.18448734,595775742.18449,EQUITY_LARGE_CAP_PRICE,10,FREQUENT_100_ROUTE,2980.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
RELIANCE_VOL_0.5Y,EQUITY,EQUITY,volatility,RELIANCE,0.5,standard,Equity,1,11477686.044437798,11477686.044437798,EQUITY_LARGE_CAP_VOLATILITY,20,REGULAR_24_ROUTE,0.28,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
RMBS_PRIME_2026_3.0Y,CREDIT_SPREAD,CSR_SECURITISATION_NON_CTP,credit_spreads,RMBS_PRIME_2026,3.0,standard,Credit,1,90510000.0,90510000.0,CREDIT_SPREAD_OTHER,120,SPARSE_FAIL,0.012,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
RMBS_PRIME_2026_5.0Y,CREDIT_SPREAD,CSR_SECURITISATION_NON_CTP,credit_spreads,RMBS_PRIME_2026,5.0,standard,Credit,1,-258600000.0,258600000.0,CREDIT_SPREAD_OTHER,120,SPARSE_FAIL,0.012,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USDINR,FX,FX,fx,USDINR,,standard,"Commodity, Credit, Equity, FX, Rates",22,844465070.9779308,1142509963.355426,FX_SPECIFIED_PAIR,10,FREQUENT_100_ROUTE,86.2,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USDINR_VOL_0.5Y,FX,FX,volatility,USDINR,0.5,standard,FX,2,3253765.989197024,3253765.989197024,FX_VOLATILITY,40,REGULAR_24_ROUTE,0.09,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_0.5Y,INTEREST_RATE,GIRR,rates,USD,0.5,standard,"Commodity, FX",4,-69878774.1587672,254914812.91752192,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.0425,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_1.0Y,INTEREST_RATE,GIRR,rates,USD,1.0,standard,Commodity,1,64521274.88870174,64521274.88870174,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.042,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_10.0Y,INTEREST_RATE,GIRR,rates,USD,10.0,standard,"Credit, Rates",3,483831456.79203284,2945136953.447027,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.041,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_3.0Y,INTEREST_RATE,GIRR,rates,USD,3.0,standard,Credit,1,0.0,0.0,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.041,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_5.0Y,INTEREST_RATE,GIRR,rates,USD,5.0,standard,"Credit, Rates",8,-1243010514.617021,1248684969.9343405,INTEREST_RATE_SPECIFIED_CURRENCY,10,FREQUENT_100_ROUTE,0.0405,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_VOL_1.0Y_UNDERLYING_10.0Y,INTEREST_RATE,GIRR,volatility,USD_OIS,1.0,standard,Rates,1,4005387.074797526,4005387.074797526,INTEREST_RATE_VOLATILITY,60,REGULAR_24_ROUTE,0.2,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
USD_OIS_VOL_3.0Y_UNDERLYING_10.0Y,INTEREST_RATE,GIRR,volatility,USD_OIS,3.0,standard,Rates,1,4005387.074797526,4005387.074797526,INTEREST_RATE_VOLATILITY,60,REGULAR_24_ROUTE,0.2,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
US_INDUSTRIAL_10.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,US_INDUSTRIAL,10.0,standard,Credit,1,-297754948.9836395,297754948.9836395,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.019,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
US_INDUSTRIAL_5.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,US_INDUSTRIAL,5.0,standard,Credit,2,-398046036.1729329,495160180.6371147,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.019,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
US_INDUSTRIAL_VOL_1.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,volatility,US_INDUSTRIAL,1.0,standard,Credit,1,778692.9069214518,778692.9069214518,CREDIT_SPREAD_VOLATILITY,120,REGULAR_24_ROUTE,0.35,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
US_RETAIL_5.0Y,CREDIT_SPREAD,CSR_NON_SECURITISATION,credit_spreads,US_RETAIL,5.0,standard,Credit,1,-280814613.42680734,280814613.42680734,CREDIT_SPREAD_CORPORATE_IG,40,REGULAR_24_ROUTE,0.022,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
WTI_0.5Y_GLOBAL,COMMODITY,COMMODITY,commodity_spot,WTI,0.5,standard,Commodity,1,482719999.99999833,482719999.99999833,COMMODITY_ENERGY_PRICE,20,FREQUENT_100_ROUTE,80.0,SYNTHETIC_MARKET_HISTORY,"Correlated, regime-aware history anchored to the shared valuation snapshot"
